#wave           Flux
3787.8457139489324 1.273093963255233e-13
3789.0564822642405 1.3574302879953067e-13
3790.2672505795485 1.4328910240240702e-13
3791.4780188948566 1.4281369354953445e-13
3792.688787210165 1.383943195622989e-13
3793.8995555254733 1.3601838528429958e-13
3795.1103238407813 1.3310539067211293e-13
3796.32109215609 1.282119321226253e-13
3797.531860471398 1.2790898857623425e-13
3798.742628786706 1.3469454291326259e-13
3799.9533971020146 1.4242431759539719e-13
3801.1641654173227 1.4502598957435672e-13
3802.374933732631 1.4336121084724076e-13
3803.5857020479393 1.3783128627405158e-13
3804.7964703632474 1.2870766152293655e-13
3806.0072386785555 1.2085836028383142e-13
3807.2180069938636 1.2192576988850026e-13
3808.428775309172 1.2372530923579093e-13
3809.63954362448 1.2347982694109615e-13
3810.8503119397883 1.1731414371784404e-13
3812.061080255097 1.1309700315763642e-13
3813.271848570405 1.0924683030443524e-13
3814.482616885713 1.1030781691917882e-13
3815.693385201021 1.1213726247501245e-13
3816.9041535163296 1.0979537749724783e-13
3818.1149218316377 1.0320681723793719e-13
3819.3256901469463 9.997223893194262e-14
3820.5364584622544 1.0095483264081023e-13
3821.7472267775624 1.0043280134387076e-13
3822.9579950928705 1.0043091270934492e-13
3824.168763408179 1.0379879586653084e-13
3825.379531723487 1.0770507714779977e-13
3826.5903000387952 1.1262438941645901e-13
3827.801068354104 1.1819504064143058e-13
3829.011836669412 1.230747847051843e-13
3830.22260498472 1.2498573958984715e-13
3831.433373300028 1.2496521068691863e-13
3832.6441416153366 1.2634627962306512e-13
3833.8549099306447 1.3016149819749113e-13
3835.065678245953 1.3113097085347523e-13
3836.2764465612613 1.283322438133206e-13
3837.4872148765694 1.248135428718049e-13
3838.6979831918775 1.2157494773307524e-13
3839.908751507186 1.2679544902286064e-13
3841.119519822494 1.328411809739889e-13
3842.3302881378017 1.3587465737091848e-13
3843.5410564531103 1.3538529578400025e-13
3844.7518247684184 1.3192625570893604e-13
3845.9625930837265 1.2710213581224025e-13
3847.1733613990345 1.21576253708364e-13
3848.384129714343 1.2211844489270473e-13
3849.594898029651 1.3048187176846042e-13
3850.8056663449597 1.3875086031527583e-13
3852.016434660268 1.427027410638961e-13
3853.227202975576 1.3973168956509196e-13
3854.437971290884 1.3695558375853075e-13
3855.6487396061925 1.3559905019837431e-13
3856.8595079215006 1.2969194706147817e-13
3858.0702762368087 1.2436839168279193e-13
3859.2810445521172 1.2683911811327448e-13
3860.4918128674253 1.318056371761512e-13
3861.7025811827334 1.3226332863871994e-13
3862.9133494980415 1.3118717632740704e-13
3864.12411781335 1.349633411384511e-13
3865.334886128658 1.4284864355204457e-13
3866.5456544439667 1.5124333943088818e-13
3867.7564227592748 1.565858987345905e-13
3868.967191074583 1.5501341823353107e-13
3870.177959389891 1.4661326835727893e-13
3871.3887277051995 1.380417625399255e-13
3872.5994960205076 1.342502340763761e-13
3873.8102643358156 1.3189647884107112e-13
3875.021032651124 1.3066595817809278e-13
3876.2318009664323 1.313352877664864e-13
3877.4425692817404 1.427849508666913e-13
3878.6533375970484 1.5471896885497692e-13
3879.864105912357 1.569601317483268e-13
3881.074874227665 1.5748412614957204e-13
3882.2856425429736 1.5617087551273993e-13
3883.4964108582817 1.44078202286459e-13
3884.70717917359 1.3559100995749578e-13
3885.917947488898 1.3886279412416983e-13
3887.1287158042064 1.461877455701412e-13
3888.3394841195145 1.5281385614494845e-13
3889.5502524348226 1.6283796102615668e-13
3890.761020750131 1.696758355913807e-13
3891.971789065439 1.6780542335572655e-13
3893.1825573807473 1.6117617690968924e-13
3894.3933256960554 1.6258755026304885e-13
3895.604094011364 1.6647895661391087e-13
3896.8148623266716 1.67670037317501e-13
3898.02563064198 1.68091384711212e-13
3899.236398957288 1.7126201059200477e-13
3900.4471672725963 1.7241624510830424e-13
3901.6579355879044 1.7382029091368869e-13
3902.8687039032125 1.7054490278049248e-13
3904.079472218521 1.6177181623976737e-13
3905.290240533829 1.5586025152879703e-13
3906.5010088491376 1.5739486448238959e-13
3907.7117771644457 1.606045658695018e-13
3908.922545479754 1.612797034366039e-13
3910.133313795062 1.5854625633083727e-13
3911.3440821103704 1.5491676520778514e-13
3912.5548504256785 1.5102310748628478e-13
3913.7656187409866 1.4347753838796832e-13
3914.976387056295 1.32673836699419e-13
3916.1871553716032 1.2432337200434607e-13
3917.3979236869113 1.1279909999942483e-13
3918.6086920022194 9.923837439859576e-14
3919.819460317528 9.231428412664414e-14
3921.030228632836 9.200413092031269e-14
3922.2409969481446 9.680391110670225e-14
3923.4517652634527 1.0262195052584426e-13
3924.6625335787608 1.0481751525176241e-13
3925.873301894069 1.0164820405814474e-13
3927.0840702093774 9.708643916255097e-14
3928.2948385246855 8.960959827234921e-14
3929.5056068399936 8.466802650030909e-14
3930.716375155302 8.42134114588979e-14
3931.92714347061 8.934127706130337e-14
3933.1379117859183 9.518961363777325e-14
3934.3486801012264 1.0409010322345793e-13
3935.559448416535 1.157008120215705e-13
3936.770216731843 1.2975893798811422e-13
